Session ID,OLX User ID,Category 1 Ads,Category 2 Ads
597ac9956586bf98,7146,0,0
ada443c709aa5af4,14700,0,1
f4f99e36bacd266a,20751,26,2
869c953dc9706d7a,8276,0,2
54646b587d6cf88d,6666,0,0
d1bc50d74ed2f0da,17817,0,0
c6bbf0788fcf9761,16897,0,14
32ce9e94b56c12be,3460,0,1
a7ddd017e0d5b651,14207,40,0
ceb36ff8df659b25,17590,0,0
502f9264371f5544,6269,0,0
7ec2d41bd71fddd4,10348,0,25
c1d38cc35133a7ac,16504,0,0
eb8646339341b08f,20025,7,0
50826fbb2b63e23,6304,0,0
e5d6bf19e74c88cc,19468,0,0
5ca2b7804c82dc0d,3923,6,3
ffa4aa30be6592e6,21577,0,0
a6604935f72bb2e6,14055,0,6
59bfb71ca55ec1d6,7169,0,0
4a011ea4b022356d,5680,0,0
da3c419a59ca4b1b,15837,0,0
e6f77b82d6d92c48,2443,0,3
f6f02bed36fa6221,20915,0,0
4e59c710e0317c59,4136,0,38
1ceb65a9e3ad7661,1271,0,0
32ce9e94b56c12be,3463,0,1
4ce2b8f74398ce6f,5950,9,0
5255741b0d0b2584,6455,0,0
1d551fd7c92205da,1307,0,0
3ad500f1efa64536,4263,3,0
86c34407005e0ce3,11283,9,0
e7a2e825c21e735b,19657,0,0
6f776e45fa4208ee,9121,0,0
d6fdc31c2f72f77c,18311,0,0
afc94ac565774cee,14885,0,0
717ca5fdf9f157fe,9334,0,0
2524849ac13f4bff,2128,2,25
e4a637a056b973a3,19395,0,0
5bc541953ef62ea6,7300,0,0
612e2b71d35e62a,7791,0,0
a51c69a64aef5611,7446,0,0
d468bcd8a962a0f1,14492,0,0
590ceadf6a7d01d9,7096,0,0
511ec95fcf0918ad,1788,0,0
8f03c4aa7bdfa6ed,12058,0,0
32ce9e94b56c12be,3451,0,1
b19805b90db7c787,15043,0,13
1dce2cff77fd7741,1362,0,0
7d3fdd83b35eecd1,6153,0,5
14ebd1c94f8b376d,463,0,0
200727f1b743bbb5,1637,0,11
34adf9b1fd4ecedf,3636,0,2
b46286671ee4e267,15330,0,1
3d841a49c1fb30d0,4459,1,31
80b7de7c358b567c,10563,0,0
e78ffe4c50967b89,19631,0,0
954054841b587279,12532,0,0
d9c563e26e33df34,18519,1,1
53acbd726b2d64ff,6592,0,0
212de592b0dc5b82,1742,0,0
4604a726acab19c4,5318,0,1
8c10c41aad281f76,11787,95,3
44546e580147b25a,5165,0,60
6c96cbdf770ae67a,8858,0,0
a599f11400552378,13997,0,0
1777446cec3975f7,727,0,0
b87b3c3e103e16d5,15678,0,3
ba35889d7a109b0f,15840,0,0
e206677ad61294e5,19168,0,0
ac781a7cb528b9b4,13087,0,24
9a5ac4831ff4f2f9,12911,0,6
84bac9e28a751542,11120,92,0
3421302203d5484a,3586,0,4
863bfcc7cb583f40,11244,0,0
b3c9a3c0cc37186f,10870,0,0
f50587e79c20040,20753,0,0
9f9a62d406fe2250,13451,0,0
dd98991b97885c28,4558,0,0
7ca9a804a3a19c41,10181,0,0
a5c5c2860d2d5058,11322,0,0
a83e4095f882192a,14274,0,4
b856fc88c59e0cfa,3038,0,0
46ea2a6abed66161,5399,0,0
22bdfd9eb568700d,1877,52,1
31cb230d3a6f3e80,3352,0,7
5d6af61989e9a51e,7465,0,0
b49ae5b12905455c,10315,0,45
8651c013566346d8,1340,15,1
20915d64ce0b4fb7,1684,0,0
a0b30cc89bbbb81e,13574,0,2
a9c770d285517e7d,14391,0,0
1a2c0c694b0f0d95,978,0,0
58fb81828fd2b519,7086,0,0
517bbd767d80f74a,6383,0,2
f108192bd5918f0e,20436,0,0
eed0661ea2585ff,20287,1,0
e646afb5f97b209f,19506,0,0
d27e56733e2702fa,17887,0,0
b314ec35a51ce778,15171,0,0
bc77b662ce34fe96,16009,0,0
70f5f83178c857a8,9289,0,0
e78ffe4c50967b89,19602,0,0
9bd86490aac6713f,13027,0,1
a6d8e17fa2a1b62f,14094,0,0
2dd34a4eed89ef6d,2980,0,0
10f6ab596d6f4e30,103,0,0
8323d46093ffcbc4,10874,0,0
77ebc415a6adb3db,9842,0,5
5db06272c2faa995,7507,0,20
